6	0.16	14344
12	0.04	14469
18	0.08	14593
24	0.02	14716
30	0.11	14840
36	0.05	14964
42	0.05	15088
48	0.27	15213
54	0.02	15330
60	0.04	15454
66	0.05	15575
72	0.11	15698
78	0.13	15822
84	0.11	15946
90	110.94	16071
96	447.52	16186
102	594.05	16301
108	589.53	16419
114	624.05	16537
120	606.97	16656
126	602.55	16774
132	596.18	16892
138	594.14	17011
144	591.88	17129
150	587.40	17247
156	583.83	17366
162	580.14	17491
168	578.41	17609
174	576.67	17728
180	572.95	17846
186	569.23	17965
192	565.84	18082
198	564.14	18201
204	562.70	18319
210	558.98	18438
216	556.70	18555
222	551.39	18674
228	549.69	18792
234	548.10	18911
240	545.45	19028
246	542.06	19147
252	537.77	19265
258	534.87	19384
264	533.07	19502
270	531.88	19620
276	528.34	19738
282	526.18	19863
288	521.48	19982
294	520.05	20101
300	518.25	20218
306	516.27	20337
312	512.19	20455
318	510.14	20573
324	505.66	20691
330	504.44	20810
336	502.61	20928
342	500.88	21046
348	496.97	21165
354	494.29	21282
360	490.17	21401
366	488.74	21519
372	487.16	21638
378	485.02	21763
384	481.39	21881
390	479.66	21999
396	474.90	22114
402	473.50	22233
408	472.13	22351
414	470.91	22469
420	466.76	22594
426	465.23	22713
432	460.39	22831
438	458.34	22949
444	457.28	23067
450	456.27	23186
456	453.31	23304
462	450.84	23422
468	448.01	23540
474	443.62	23659
480	442.67	23777
486	441.42	23896
492	440.05	24013
498	436.91	24132
504	434.78	24250
510	431.36	24369
516	427.92	24486
522	426.82	24605
528	425.66	24723
534	424.35	24842
540	421.03	24960
546	418.53	25078
552	415.11	25196
558	411.88	25315
564	410.94	25433
570	409.53	25551
576	408.71	25676
582	405.51	25795
588	402.95	25913
594	400.81	26032
600	396.09	26149
606	394.66	26268
612	393.50	26387
618	392.52	26505
624	390.66	26624
630	386.67	26741
636	384.81	26866
642	380.84	26985
648	377.70	27103
654	376.67	27222
660	375.17	27340
666	374.23	27458
672	372.13	27577
678	368.68	27695
684	366.91	27821
690	362.64	27938
696	359.66	28057
702	358.59	28175
708	357.52	28294
714	356.15	28419
720	354.50	28537
726	351.09	28655
732	349.05	28774
738	346.58	28889
744	342.19	29006
750	340.91	29125
756	339.50	29251
762	338.07	29369
768	337.16	29488
774	334.17	29605
780	330.20	29730
786	328.89	29852
792	324.87	29971
798	321.30	30089
804	320.17	30208
810	319.05	30326
816	317.77	30444
822	316.91	30563
828	314.47	30681
834	310.60	30806
840	308.80	30924
846	306.18	31049
852	301.67	31168
858	299.93	31286
864	298.83	31405
870	297.70	31523
876	296.97	31641
882	295.60	31756
888	292.89	31875
894	289.38	31992
900	287.25	32117
906	285.42	32236
912	280.69	32354
918	278.28	32473
924	277.19	32591
930	276.18	32709
936	275.27	-32708
942	275.33	-32685
948	274.81	-32660
954	274.99	-32635
960	274.78	-32612
966	274.66	-32587
972	274.11	-32563
978	273.95	-32539
984	273.41	-32515
990	273.31	-32490
996	272.58	-32466
1002	272.22	-32442
1008	271.61	-32417
1014	270.39	-32393
1020	270.02	-32369
1026	269.05	-32345
1032	268.28	-32320
1038	267.83	-32296
1044	267.13	-32272
1050	266.48	-32247
1056	265.94	-32224
1062	265.78	-32199
1068	265.45	-32175
1074	265.17	-32151
1080	265.14	-32126
1086	264.84	-32102
1092	264.66	-32078
1098	264.35	-32054
1104	263.83	-32029
1110	262.89	-32006
1116	261.91	-31981
1122	260.78	-31956
1128	259.90	-31933
1134	259.02	-31908
1140	258.25	-31884
1146	257.31	-31860
1152	256.97	-31836
1158	256.64	-31811
1164	256.09	-31788
1170	255.78	-31763
1176	255.42	-31738
1182	255.30	-31715
1188	254.90	-31690
1194	254.78	-31666
1200	254.69	-31641
1206	254.50	-31618
1212	254.29	-31593
1218	253.98	-31568
1224	253.92	-31545
1230	253.74	-31520
1236	253.41	-31496
1242	253.10	-31472
1248	253.07	-31448
1254	252.73	-31423
1260	252.70	-31399
1266	252.52	-31375
1272	252.40	-31350
1278	252.34	-31327
1284	252.19	-31302
1290	252.00	-31278
1296	251.55	-31257
1302	251.58	-31232
1308	251.48	-31209
1314	251.00	-31184
1320	250.75	-31160
1326	250.42	-31136
1332	250.11	-31112
1338	249.75	-31087
1344	248.98	-31064
1350	248.25	-31039
1356	247.55	-31014
1362	246.85	-30991
1368	246.06	-30966
1374	245.27	-30942
1380	244.72	-30918
1386	244.23	-30894
1392	243.53	-30869
1398	242.89	-30845
1404	242.67	-30821
1410	242.52	-30796
1416	242.03	-30773
1422	241.61	-30748
1428	241.52	-30724
1434	241.55	-30700
1440	241.48	-30675
1446	241.15	-30652
1452	240.81	-30627
1458	239.99	-30603
1464	238.71	-30578
1470	237.52	-30555
1476	236.67	-30530
1482	235.91	-30505
1488	235.08	-30482
1494	234.44	-30457
1500	233.92	-30433
1506	233.38	-30409
1512	232.86	-30388
1518	232.31	-30367
1524	232.16	-30347
1530	231.88	-30325
1536	231.70	-30302
1542	231.58	-30277
1548	231.33	-30253
1554	231.24	-30229
1560	230.88	-30204
1566	230.84	-30184
1572	230.60	-30159
1578	230.51	-30135
1584	230.23	-30111
1590	230.11	-30087
1596	229.99	-30062
1602	229.69	-30037
1608	229.50	-30014
1614	229.32	-29989
1620	228.98	-29965
1626	228.71	-29941
1632	228.71	-29917
1638	228.86	-29892
1644	228.59	-29869
1650	228.38	-29844
1656	228.22	-29827
1662	228.16	-29802
1668	227.98	-29778
1674	227.73	-29754
1680	227.31	-29729
1686	227.22	-29706
1692	226.94	-29681
1698	226.82	-29657
