0	0.12	29220
8	0.09	29339
16	0.12	29461
24	0.00	29580
32	0.18	29702
40	0.09	29825
48	0.09	29946
56	0.00	30068
64	0.03	30190
72	0.06	30313
80	0.19	30432
88	0.28	30551
96	0.06	30669
104	0.06	30788
112	0.21	30907
120	0.09	31029
128	0.18	31148
136	0.06	31266
144	0.09	31388
152	0.00	31507
160	0.19	31629
168	0.06	31751
176	0.12	31869
184	0.12	31992
192	0.15	32110
200	0.19	32229
208	39.72	32352
216	235.12	32475
224	512.44	32599
232	541.25	32722
240	525.52	32845
248	528.96	32969
256	527.19	33093
264	523.53	33217
272	521.00	33340
280	520.33	33464
288	518.87	33587
296	515.21	33711
304	513.38	33831
312	509.30	33951
320	508.02	34074
328	507.28	34198
336	504.36	34322
344	501.16	34446
352	498.50	34566
360	494.85	34690
368	494.17	34812
376	493.08	34936
384	489.97	35060
392	487.68	35183
400	483.38	35307
408	480.85	35431
416	480.24	35554
424	479.14	35678
432	476.13	35802
440	474.02	35926
448	470.49	36048
456	467.71	36172
464	467.31	36294
472	466.34	36418
480	463.41	36541
488	460.94	36665
496	457.56	36789
504	454.57	36912
512	453.72	37036
520	453.11	37159
528	450.73	37282
536	447.41	37406
544	445.70	37530
552	440.91	37653
560	439.85	37777
568	439.57	37901
576	437.95	38024
584	434.66	38148
592	432.65	38272
600	428.81	38395
608	426.37	38518
616	425.39	38642
624	424.30	38765
632	422.50	38889
640	418.96	39013
648	417.56	39136
656	413.11	39260
664	410.94	39384
672	410.15	39506
680	409.17	39630
688	406.61	39754
696	403.38	39878
704	402.41	40001
712	397.65	40125
720	396.00	40249
728	395.12	40372
736	394.08	40496
744	392.16	40620
752	387.77	40742
760	386.31	40866
768	382.31	40990
776	379.30	41113
784	378.84	41237
792	377.77	41360
800	376.86	41483
808	373.41	41607
816	370.00	41729
824	368.78	41851
832	363.84	41975
840	362.22	42099
848	361.89	42222
856	361.25	42346
864	360.21	42470
872	356.67	42593
880	354.02	42717
888	352.41	42841
896	347.41	42963
904	346.03	43087
912	345.70	43210
920	345.36	43334
928	344.30	43458
936	341.49	43581
944	338.47	43705
952	337.59	43829
960	332.80	43952
968	330.70	44076
976	330.03	44198
984	329.48	44322
992	328.78	44446
1000	327.22	44569
1008	323.96	44693
1016	322.50	44817
1024	321.28	44937
1032	316.77	45057
1040	315.12	45177
1048	314.66	45297
1056	314.24	45417
1064	313.78	45538
1072	312.68	45658
1080	309.51	45777
1088	307.44	45898
1096	306.74	46018
1104	302.89	46138
1112	300.61	46259
1120	299.91	46379
1128	299.91	46498
1136	299.42	46618
1144	298.66	46739
1152	297.16	46859
1160	294.14	46980
1168	292.62	47099
1176	291.67	47219
1184	287.74	47340
1192	285.36	47460
1200	284.63	47580
1208	284.14	47699
1216	283.93	47820
1224	283.14	47940
1232	281.86	48060
1240	278.87	48181
1248	276.43	48301
1256	275.82	48420
1264	273.17	48541
1272	269.45	48661
1280	268.20	48781
1288	267.50	48901
1296	266.98	49021
1304	266.55	49141
1312	265.94	49261
1320	264.39	49382
1328	261.25	49502
1336	259.17	49622
1344	258.23	49742
1352	255.73	49862
1360	252.28	49982
1368	250.67	50103
1376	249.97	50223
1384	249.66	50342
1392	249.75	50462
1400	249.36	50582
1408	248.38	50703
1416	246.16	50823
1424	243.11	50942
1432	242.07	51062
1440	241.19	51182
1448	238.32	51303
1456	235.00	51423
1464	233.63	51543
1472	233.17	51662
1480	232.86	51783
1488	232.65	51903
1496	232.44	52023
1504	231.40	52143
1512	229.85	52263
1520	226.67	52383
1528	224.57	52503
1536	223.41	52624
1544	222.59	52744
1552	219.27	52864
1560	216.43	52984
1568	215.15	53104
1576	214.45	53224
1584	214.30	53344
1592	214.11	53464
1600	213.84	53583
1608	213.17	53704
1616	211.89	53824
1624	209.51	53944
1632	206.67	54065
1640	205.06	54184
1648	204.17	54304
1656	203.41	54425
1664	199.57	54545
1672	197.10	54665
1680	195.61	54785
1688	194.78	54904
1696	194.42	55024
1704	194.27	55144
1712	193.96	55265
1720	193.32	55385
1728	192.47	55504
1736	190.94	55625
1744	188.44	55745
1752	185.79	55865
1760	183.78	55985
1768	182.80	56105
1776	182.19	56225
1784	179.14	56345
1792	175.91	56466
1800	173.87	56586
1808	172.80	56706
1816	172.19	56825
1824	171.95	56945
1832	171.83	57065
1840	171.46	57186
1848	171.52	57306
1856	170.58	57425
1864	169.48	57546
1872	167.77	57666
1880	164.91	57786
1888	162.25	57906
1896	160.21	58027
1904	159.48	58146
1912	158.90	58266
1920	157.28	58386
1928	153.29	58507
1936	150.55	58627
1944	148.87	58746
1952	148.05	58867
1960	147.35	58987
1968	146.86	59107
1976	146.22	59227
1984	146.40	59346
1992	146.16	59466
2000	146.00	59587
2008	145.00	59707
2016	143.99	59828
2024	142.50	59948
2032	140.12	60067
2040	136.92	60188
2048	135.00	60308
2056	133.32	60428
2064	132.56	60548
2072	131.74	60668
2080	131.16	60788
2088	128.17	60908
2096	124.78	61029
2104	121.95	61152
2112	120.27	61276
2120	119.27	61395
2128	118.78	61519
2136	118.05	61642
2144	117.62	61765
2152	117.59	61889
2160	117.50	62012
2168	117.35	62136
2176	117.50	62259
2184	116.83	62383
2192	116.10	62507
2200	115.15	62630
2208	113.56	62753
2216	111.64	62877
2224	108.69	63001
2232	105.76	63124
2240	103.87	63247
2248	102.44	63371
2256	101.34	63494
2264	100.39	63618
2272	99.66	63740
2280	99.05	63863
2288	96.89	63986
2296	93.05	64106
2304	90.00	64229
2312	87.38	64352
2320	85.33	64472
2328	83.81	64594
2336	83.11	64716
2344	82.25	64839
